temperature,humidity,ph,rainfall,label
17.19628279,13.68862614,5.97052042,53.8727743,Peas
31.32720734,54.17967763,6.621678462,144.8018325,wheat
30.01821337,50.0983181,5.676032581,96.08745082,mango
31.11185433,62.36169509,6.178774026,118.7825932,Ground Nut
24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
25.92030221,83.47202566,6.921847888,42.10681516,watermelon
53.79861699,47.85710959,5.669617314,127.4260686,Adzuki Beans
24.91370487,54.15319242,7.042089492,129.5481144,Coffee
22.91350245,21.33953114,5.873171894,109.225556,Kidney Beans
28.81600633,83.9501556,6.030829893,160.1442466,Sugarcane
39.04071989,80.18393287,6.499604931,73.88467027,grapes
28.95451232,89.07866095,6.421271178,57.65901369,Mung Bean
22.82587592,61.79043699,4.885462602,170.1582771,Tea
32.47648301,64.34848735,7.397190844,65.820457,Black gram
26.97251562,62.0183627,6.908671379,142.8610793,Coffee
10.72302459,80.02130636,6.425419926,65.2982112,grapes
22.30318989,92.15987039,6.438668989,117.3688104,orange
33.56150184,45.53556603,5.977413803,95.70525913,mango
21.31615361,63.99928025,4.5280571,216.1093103,Tea
24.45132792,93.10527686,6.528354932,109.4711098,orange
27.5529736,47.90859131,5.910634533,90.40332704,mango
24.14386157,84.51591287,6.785723961,80.36146974,Cotton
53.47489192,57.81657349,7.09081152,125.6690043,Adzuki Beans
19.667056,90.50096668,7.764040111,100.1737964,orange
25.76402693,87.5931128,6.704688865,46.05122728,watermelon
46.50038918,12.44150499,7.686214156,47.05551318,millet
26.52166434,98.38227669,5.588655387,144.6261698,Coconut
29.53037621,86.73346018,7.156563094,59.87232071,Mung Bean
27.63834933,95.48763389,5.85971872,205.5463111,Coconut
32.2892277,59.99209925,6.468806013,130.4551329,Ground Nut
24.12192608,61.09533545,6.461618577,44.23629285,Lentil
27.89636126,88.71782287,6.78415271,57.79863368,Mung Bean
23.43413634,58.74017179,4.856532429,154.4017889,Tea
23.33375853,64.50515776,7.240988401,47.01510708,Lentil
27.62749466,86.49366929,6.605733068,39.26137642,Mung Bean
33.15122581,32.45974539,4.807776749,105.0380275,Pigeon Peas
28.0764455,76.05522115,5.905494703,118.9923573,banana
25.18780042,83.44621709,6.818261383,46.87420883,watermelon
24.7634518,87.06071115,6.463538707,179.1630865,Jute
49.51043695,11.22912477,6.700555932,48.49348171,millet
15.31413469,80.09711412,5.804799142,74.82144653,grapes
35.21462816,91.49725058,6.793245417,243.0745066,papaya
23.25230817,94.54128292,5.867420996,105.3558408,apple
50.05527203,54.42400036,5.068978566,140.6692694,Adzuki Beans
32.7874383,76.5115355,5.717626824,231.9788101,Rubber
22.36238282,91.15761594,6.119432215,118.6832725,apple
18.43966037,68.05394959,7.732194788,39.00992137,Lentil
20.27774362,82.89408619,5.718627178,241.9741949,rice
31.27180992,52.23810152,6.811291098,89.74409017,mango
25.10474753,87.5267616,6.587791262,59.26519444,watermelon
24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
48.50763857,10.98982094,6.933461558,49.57322707,millet
30.04867399,59.36080725,6.027279821,127.2706021,Ground Nut
23.52652084,65.44340921,6.392791654,186.1728203,Coffee
18.70679077,83.4795292,6.209928251,66.5964488,grapes
25.12528913,51.33189406,4.516154055,38.48678973,Moth Beans
32.83179905,57.8682587,6.901257558,128.889532,wheat
29.8596912,80.03499648,6.666380512,50.66487502,Mung Bean
28.6362812,84.61431076,6.790736339,48.48319335,Mung Bean
26.88630675,41.69617915,4.750929218,94.46748008,Pigeon Peas
26.16093857,60.93907749,5.843978294,76.19444479,Tobacco
21.53346343,82.14004101,6.500343222,295.9248796,rice
24.86803974,48.27531965,8.621514073,63.9187654,Moth Beans
29.45771748,92.12534736,6.708743843,20.76212031,muskmelon
22.63946441,90.18451645,5.697945522,108.3405879,apple
26.47549543,73.96164569,6.732826127,180.2513601,Jute
17.04252547,13.99818474,6.041231336,45.15647705,Peas
23.7805123,83.03878838,7.827877818,66.26555904,Cotton
19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
28.5854649,91.89216849,6.085682344,26.88372572,muskmelon
16.43340342,24.24045875,5.926676985,140.3717815,Kidney Beans
26.89291515,61.41468436,5.89834282,83.08572909,Tobacco
22.45072926,59.95707274,6.621852926,102.5746649,wheat
29.68846716,94.30111601,6.168757984,26.83924845,muskmelon
17.76364079,13.28620197,6.443339449,51.33339941,Peas
24.32116642,21.0278674,5.821194486,60.27552528,Kidney Beans
26.01630259,49.94704718,5.906596905,160.3337447,Pigeon Peas
22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
13.28504331,83.54193816,5.69945282,65.80006004,grapes
53.32395566,53.18750858,5.092063545,59.96418465,Adzuki Beans
28.30041493,86.20681554,6.86308576,50.47333854,Mung Bean
26.57256307,62.94940697,5.901895741,77.79486786,Tobacco
17.98667801,81.17712085,5.777271492,72.37127689,grapes
54.5458814,53.21001183,7.490025023,123.7823555,Adzuki Beans
25.32688786,63.18180319,9.112771682,32.71129281,Moth Beans
23.89069041,83.46409075,6.097294061,167.7230632,Jute
18.35874828,13.38236458,6.249825412,54.85580308,Peas
18.962053,13.6249547,6.454489874,45.18564829,Peas
22.98208095,93.84505029,5.971332179,109.5852253,apple
26.12797248,80.49172597,7.132389299,150.6326874,Jute
28.26299061,81.02185463,7.332859966,152.7608761,Sugarcane
23.65629976,77.52425987,7.2942193,74.8984994,Cotton
37.58899717,91.99740365,6.9677596,159.6577388,papaya
47.17536994,13.13000889,7.052476766,38.15003963,millet
23.76121837,93.661643,5.965551311,100.825956,apple
29.52501367,91.91185319,6.121005506,194.3100272,Coconut
22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
29.55263507,77.47595302,6.950355361,108.1668762,Sugarcane
25.16125354,55.25435777,9.254089438,40.89732789,Moth Beans
39.73149053,91.12220596,6.919342407,122.7628653,papaya
19.38603815,86.79058496,5.767372539,109.9130984,pomegranate
26.27787527,67.94852819,5.847183732,79.53668842,Tobacco
28.22471276,82.35916228,6.428054409,44.01206619,Mung Bean
26.80079604,80.88684822,5.108681786,284.4364567,rice
23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
40.42716839,14.11184194,6.194821258,41.60227033,millet
26.45707778,56.40226277,5.993513566,64.16167699,Moth Beans
32.83179905,78.71368558,5.136926129,302.2167691,Rubber
23.46260321,91.45665004,5.682751473,111.7763395,apple
21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
14.34320488,94.35734702,7.994465371,110.2223123,orange
37.4620912,90.44967809,6.933809743,172.3458448,papaya
28.69841277,61.14754363,9.93509073,65.67591794,Moth Beans
28.56800579,57.30636014,8.66077954,64.53027638,Moth Beans
28.47590307,80.60163318,8.203607145,160.7784834,Sugarcane
27.00648436,96.46168931,5.627860549,144.3331315,Coconut
24.92162194,66.78627406,5.750254943,109.2162279,maize
23.7937153,68.03209183,6.516317561,49.73922097,Lentil
18.74826712,62.49878458,6.417820493,70.23401597,maize
27.84767901,83.31110751,6.101241579,117.2878912,banana
23.42611644,64.10651528,6.779984384,122.6847408,Coffee
29.2440638,77.32017166,5.707488987,90.66727868,banana
12.22816189,90.26457428,7.106650373,108.4161706,orange
23.09348056,60.1159381,6.033550195,65.49730729,maize
27.76317235,90.35567642,6.740983646,25.21609113,muskmelon
23.30355338,73.62548442,5.873242491,97.59081274,maize
25.85483596,89.13163965,6.049609892,46.85176955,watermelon
38.4418717,93.63739039,6.544029776,77.71566883,papaya
33.83508569,92.85470152,6.991626158,203.4044028,papaya
28.87667593,62.4901206,5.457871273,182.2688175,Pigeon Peas
26.63838589,84.69546874,6.189213927,48.32428609,watermelon
23.26796952,79.88797861,5.354980299,375.4582417,Rubber
26.51682337,77.79913575,5.50947065,108.8547508,banana
30.20210041,50.1380326,6.408720502,159.637369,wheat
35.99009679,52.22780489,5.978634285,95.3713484,mango
29.21780035,87.93724219,6.54450214,43.1386631,Mung Bean
26.53259325,82.39053979,6.835268184,54.30660782,watermelon
24.92053971,57.57147398,4.935978207,246.7881984,Tea
33.59486982,64.75347681,6.085661738,70.29511043,Ground Nut
51.38017419,46.58741844,6.965966879,54.18396531,Adzuki Beans
28.28905147,97.00396405,5.973853124,142.9403233,Coconut
28.36363858,87.59810657,6.320662012,57.99524359,Mung Bean
30.42012134,93.12659793,6.583528529,75.95295,papaya
25.29762002,77.00992722,6.962420615,136.351388,Sugarcane
21.19852186,92.15595143,6.276198595,105.8554351,apple
19.95991719,59.33157782,5.982854523,195.787103,Pigeon Peas
18.72963144,19.18197264,6.481783043,71.58010169,Chickpea
22.77856513,92.70124029,5.624203283,113.7759219,apple
27.92063282,51.77965917,6.47544932,100.2585673,mango
19.18572809,20.83398341,5.669236258,80.15293435,Kidney Beans
29.12533739,91.52291141,6.776987974,21.90440445,muskmelon
23.48546973,93.71043692,6.833768535,191.7760562,papaya
23.41044706,91.69913296,5.587905967,116.0777931,apple
41.72885654,15.24298284,5.626288256,43.62701068,millet
43.23043616,14.61906656,5.787205654,41.10898552,millet
29.50704598,78.20585613,5.507641778,98.12565829,banana
20.71424384,15.27824066,7.103798069,76.77888672,Chickpea
28.66024187,59.3189118,8.399135958,36.92629678,Moth Beans
25.64839004,75.09520431,5.240775765,138.1572439,Sugarcane
23.0978878,58.27703336,4.809708367,242.5840596,Tea
22.14593688,82.8597549,7.091992365,60.65381719,Cotton
15.78144173,92.51077745,6.354006744,119.035002,orange
29.93707596,81.77713468,5.898944282,65.52279323,grapes
31.31073691,65.63683906,6.256017488,128.4178877,Ground Nut
24.88738107,75.62137159,6.827354668,89.76050416,Cotton
25.49848236,79.9751579,7.306918817,67.05961949,Cotton
33.64769646,48.41490082,7.066087261,100.4673278,Pigeon Peas
21.22503442,90.09877774,5.52078314,113.9760462,apple
21.7238313,80.2389895,6.501697816,277.9626192,rice
30.33276599,42.35249879,6.446091759,149.299952,Pigeon Peas
33.62465186,73.16053744,6.135540513,65.84424567,Ground Nut
33.34241882,62.93108511,6.262254242,74.8939621,Ground Nut
25.50736962,84.24340241,6.792035575,44.2068997,watermelon
22.76643029,92.12438519,6.442289294,120.4359949,apple
26.18159716,81.03886263,6.315586313,66.05911698,grapes
18.46464224,13.3268219,6.451286787,54.55312597,Peas
22.69094467,72.59373961,5.147789421,237.0412478,Rubber
21.63162756,60.27766379,6.430616465,69.21803098,maize
29.38538562,63.47742011,5.761702519,90.05422663,Pigeon Peas
8.825674745,82.89753705,5.536645599,67.235765,grapes
25.53649642,76.23770154,5.174601576,361.7719257,Rubber
29.09382275,45.5661059,5.32307197,96.23520043,mango
31.8520694,90.12220323,6.407715561,109.9455062,orange
52.41141567,53.6870061,5.722983932,63.19566861,Adzuki Beans
33.55695561,53.72979826,4.757114897,98.67527561,mango
30.74909489,59.86826705,6.068708058,103.6641416,Ground Nut
31.20478173,54.49960506,6.804437106,94.62954663,mango
26.31270635,98.62048026,5.804965067,208.1181381,Coconut
24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
29.58949031,68.32176769,6.928898659,67.53021213,Black gram
26.67198502,77.57891165,6.85162395,153.5982061,Sugarcane
29.73770045,47.54885174,5.954626604,90.09586854,mango
26.45488737,93.45042636,5.901495544,149.2220255,Coconut
30.44017124,59.92268124,6.04893386,110.1438483,Ground Nut
46.14731883,12.21381384,7.216420018,46.06744344,millet
30.35409044,67.90612419,6.27880351,109.8769113,Ground Nut
29.57329479,88.07505524,7.199495368,45.04467075,Mung Bean
23.19451074,91.40301608,6.502289473,206.3999208,papaya
26.16451456,58.42549605,6.478950147,114.523192,wheat
26.13871511,79.1188943,6.067302109,171.4892533,Jute
18.57665902,19.22008229,8.104396058,72.94940441,Chickpea
30.03447137,57.16714071,6.66999862,128.2064115,wheat
28.9973145,83.78911515,6.821747052,59.84499208,Mung Bean
53.01598707,55.55353906,6.875183422,115.8790571,Adzuki Beans
27.31372793,85.44815232,6.568795404,53.15223123,Mung Bean
31.87314342,62.3478741,6.394947663,139.2140672,Ground Nut
22.99774444,60.24218572,4.603563116,159.689339,Pigeon Peas
17.48504075,16.96070581,6.89655198,86.05078037,Chickpea
23.5643831,79.46283115,7.321619041,185.25947,Jute
26.63952463,70.95705996,7.311077075,199.3355744,Jute
18.86805647,15.65809214,6.391173589,88.51048983,Chickpea
23.35723208,55.18792166,6.026287448,171.6976946,Coffee
28.86914133,70.40013301,5.48003287,258.3632012,Rubber
35.33294932,92.11508608,6.560743093,235.6133585,papaya
24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
23.1094265,92.79630809,6.383180271,108.183792,apple
22.14464104,93.82567435,6.400321212,120.6310784,apple
25.78720961,78.29599475,8.036608508,111.5680707,Sugarcane
28.91842453,94.63676767,6.678695788,63.68794608,papaya
19.16288268,15.83500655,7.354973451,82.69766829,Chickpea
24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
27.33897716,90.69759008,6.150090899,28.69113835,muskmelon
47.43602009,15.00651263,7.316562005,42.91170851,millet
28.38686534,61.88871127,7.405176138,74.24459122,Black gram
